"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Rookie","6548","Cooper","Flagg","Cooper Flagg","DAL","https://content.rotowire.com/images/teamlogo/basketball/100DAL.png?v=7","/betting/nba/player/cooper-flagg-odds-6548","-150","0.0",0.666666666666667,"40.4","13.33",NA,NA,NA,"-150","0.0",0.666666666666667,"47.9","13.33",NA,NA,NA,"-165","0.0",0.606060606060606,"48.4","12.12",NA,NA,NA,"-140","0.0",0.714285714285714,"42.7","14.29",NA,NA,NA,"-155","0.0",0.645161290322581,"44.9","12.90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","-140","0.0",0.714285714285714,NA,"14.29",2025-10-25
"Rookie","6550","VJ","Edgecombe","VJ Edgecombe","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=7","/betting/nba/player/vj-edgecombe-odds-6550","185","0.0",1.85,"23.6","37.00",NA,NA,NA,"260","0.0",2.6,"22.2","52.00",NA,NA,NA,"250","0.0",2.5,"22.2","50.00",NA,NA,NA,"225","0.0",2.25,"22.5","45.00",NA,NA,NA,"200","0.0",2,"24.6","40.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","260","0.0",2.6,NA,"52.00",2025-10-25
"Rookie","6543","Tre","Johnson","Tre Johnson","WAS","https://content.rotowire.com/images/teamlogo/basketball/100WAS.png?v=7","/betting/nba/player/tre-johnson-odds-6543","950","0.0",9.5,"6.4","190.00",NA,NA,NA,"1000","0.0",10,"7.3","200.00",NA,NA,NA,"1400","0.0",14,"5.2","280.00",NA,NA,NA,"1500","0.0",15,"4.6","300.00",NA,NA,NA,"1500","0.0",15,"4.6","300.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","1500","0.0",15,NA,"300.00",2025-10-25
"Rookie","6549","Dylan","Harper","Dylan Harper","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=7","/betting/nba/player/dylan-harper-odds-6549","1900","0.0",19,"3.4","380.00",NA,NA,NA,"2000","0.0",20,"3.8","400.00",NA,NA,NA,"2000","0.0",20,"3.7","400.00",NA,NA,NA,"1500","0.0",15,"4.6","300.00",NA,NA,NA,"2200","0.0",22,"3.2","440.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","2200","0.0",22,NA,"440.00",2025-10-25
"Rookie","6551","Ace","Bailey","Ace Bailey","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=7","/betting/nba/player/ace-bailey-odds-6551","2000","0.0",20,"3.2","400.00",NA,NA,NA,"2800","0.0",28,"2.8","560.00",NA,NA,NA,"1900","0.0",19,"3.9","380.00",NA,NA,NA,"2000","0.0",20,"3.5","400.00",NA,NA,NA,"1900","0.0",19,"3.7","380.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","2800","0.0",28,NA,"560.00",2025-10-25
"Rookie","6540","Kon","Knueppel","Kon Knueppel","CHA","https://content.rotowire.com/images/teamlogo/basketball/100CHA.png?v=7","/betting/nba/player/kon-knueppel-odds-6540","2200","0.0",22,"2.9","440.00",NA,NA,NA,"4000","0.0",40,"1.9","800.00",NA,NA,NA,"3500","0.0",35,"2.2","700.00",NA,NA,NA,"1750","0.0",17.5,"4.0","350.00",NA,NA,NA,"3500","0.0",35,"2.1","700.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","4000","0.0",40,NA,"800.00",2025-10-25
"Rookie","6575","Walter","Clayton","Walter Clayton","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=7","/betting/nba/player/walter-clayton-odds-6575","5500","0.0",55,"1.2","1,100.00",NA,NA,NA,"6600","0.0",66,"1.2","1,320.00",NA,NA,NA,"7500","0.0",75,"1.0","1,500.00",NA,NA,NA,"5000","0.0",50,"1.4","1,000.00",NA,NA,NA,"5000","0.0",50,"1.4","1,000.00",NA,NA,NA,"6000","0.0",60,"24.6","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","7500","0.0",75,NA,"1,500.00",2025-10-25
"Rookie","6546","Jeremiah","Fears","Jeremiah Fears","NOP","https://content.rotowire.com/images/teamlogo/basketball/100NOP.png?v=7","/betting/nba/player/jeremiah-fears-odds-6546","6000","0.0",60,"1.1","1,200.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"2500","0.0",25,"2.8","500.00",NA,NA,NA,"6600","0.0",66,"1.1","1,320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","7500","0.0",75,NA,"1,500.00",2025-10-25
"Rookie","6557","Kasparas","Jakucionis","Kasparas Jakucionis","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=7","/betting/nba/player/kasparas-jakucionis-odds-6557","7500","0.0",75,"0.9","1,500.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"5000","0.0",50,"1.4","1,000.00",NA,NA,NA,"8000","0.0",80,"0.9","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","8000","0.0",80,NA,"1,600.00",2025-10-25
"Rookie","6547","Nique","Clifford","Nique Clifford","SAC","https://content.rotowire.com/images/teamlogo/basketball/100SAC.png?v=7","/betting/nba/player/nique-clifford-odds-6547","7000","0.0",70,"0.9","1,400.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"7500","0.0",75,"1.0","1,500.00",NA,NA,NA,"6600","0.0",66,"1.1","1,320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2025-10-25
