"future","playerID","firstName","lastName","name","team","logo","playerURL","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Rookie","6548","Cooper","Flagg","Cooper Flagg","DAL","https://content.rotowire.com/images/teamlogo/basketball/100DAL.png?v=7","/betting/nba/player/cooper-flagg-odds-6548","-125","0.0",0.8,"46.7","16.00",NA,NA,NA,"-125","0.0",0.8,"47.1","16.00",NA,NA,NA,"-130","0.0",0.769230769230769,"46.7","15.38",NA,NA,NA,"-120","0.0",0.833333333333333,"45.1","16.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","-120","0.0",0.833333333333333,NA,"16.67",2025-11-12
"Rookie","6550","VJ","Edgecombe","VJ Edgecombe","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=7","/betting/nba/player/vj-edgecombe-odds-6550","350","0.0",3.5,"18.7","70.00",NA,NA,NA,"230","0.0",2.3,"25.7","46.00",NA,NA,NA,"275","0.0",2.75,"22.0","55.00",NA,NA,NA,"230","0.0",2.3,"25.1","46.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","350","0.0",3.5,NA,"70.00",2025-11-12
"Rookie","6540","Kon","Knueppel","Kon Knueppel","CHA","https://content.rotowire.com/images/teamlogo/basketball/100CHA.png?v=7","/betting/nba/player/kon-knueppel-odds-6540","300","0.0",3,"21.0","60.00",NA,NA,NA,"480","0.0",4.8,"14.6","96.00",NA,NA,NA,"400","0.0",4,"16.5","80.00",NA,NA,NA,"450","0.0",4.5,"15.0","90.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","480","0.0",4.8,NA,"96.00",2025-11-12
"Rookie","6592","Cedric","Coward","Cedric Coward","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=7","/betting/nba/player/cedric-coward-odds-6592","1300","0.0",13,"6.0","260.00",NA,NA,NA,"1400","0.0",14,"5.7","280.00",NA,NA,NA,"1100","0.0",11,"6.9","220.00",NA,NA,NA,"1300","0.0",13,"5.9","260.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1400","0.0",14,NA,"280.00",2025-11-12
"Rookie","6551","Ace","Bailey","Ace Bailey","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=7","/betting/nba/player/ace-bailey-odds-6551","8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","10000","0.0",100,NA,"2,000.00",2025-11-12
"Rookie","6546","Jeremiah","Fears","Jeremiah Fears","NOP","https://content.rotowire.com/images/teamlogo/basketball/100NOP.png?v=7","/betting/nba/player/jeremiah-fears-odds-6546","8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2025-11-12
"Rookie","6549","Dylan","Harper","Dylan Harper","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=7","/betting/nba/player/dylan-harper-odds-6549","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","10000","0.0",100,NA,"2,000.00",2025-11-12
"Rookie","6543","Tre","Johnson","Tre Johnson","WAS","https://content.rotowire.com/images/teamlogo/basketball/100WAS.png?v=7","/betting/nba/player/tre-johnson-odds-6543","8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2025-11-12
"Rookie","6541","Derik","Queen","Derik Queen","NOP","https://content.rotowire.com/images/teamlogo/basketball/100NOP.png?v=7","/betting/nba/player/derik-queen-odds-6541","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2025-11-12
"Rookie","6575","Walter","Clayton","Walter Clayton","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=7","/betting/nba/player/walter-clayton-odds-6575",NA,NA,NA,NA,NA,NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"25000","0.0",250,"28.6","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","25000","0.0",250,NA,"5,000.00",2025-11-12
