"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanatics_odds","fanatics_line","fanatics_mult","fanatics_winPct","fanatics_win","fanatics_odds_under","fanatics_mult_under","fanatics_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","thescore_odds","thescore_line","thescore_mult","thescore_winPct","thescore_win","thescore_odds_under","thescore_mult_under","thescore_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Rookie","6548","Cooper","Flagg","Cooper Flagg","DAL","https://content.rotowire.com/images/teamlogo/basketball/100DAL.png?v=10","/betting/nba/player/cooper-flagg-odds-6548","230","0.0",2.3,"28.0","46.00",NA,NA,NA,"225","0.0",2.25,"29.0","45.00",NA,NA,NA,"210","0.0",2.1,"0.0","42.00",NA,NA,NA,"200","0.0",2,"31.5","40.00",NA,NA,NA,"-700","0.0",0.142857142857143,"78.5","2.86",NA,NA,NA,"200","0.0",2,"31.1","40.00",NA,NA,NA,"175","0.0",1.75,"33.6","35.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","230","0.0",2.3,NA,"46.00",2026-04-03
"Rookie","6540","Kon","Knueppel","Kon Knueppel","CHA","https://content.rotowire.com/images/teamlogo/basketball/100CHA.png?v=10","/betting/nba/player/kon-knueppel-odds-6540","-350","0.0",0.285714285714286,"71.7","5.71",NA,NA,NA,"-300","0.0",0.333333333333333,"70.6","6.67",NA,NA,NA,"-250","0.0",0.4,"0.0","8.00",NA,NA,NA,"-260","0.0",0.384615384615385,"68.3","7.69",NA,NA,NA,"350","0.0",3.5,"19.9","70.00",NA,NA,NA,"-275","0.0",0.363636363636364,"68.5","7.27",NA,NA,NA,"-250","0.0",0.4,"66.0","8.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","350","0.0",3.5,NA,"70.00",2026-04-03
"Rookie","6550","VJ","Edgecombe","VJ Edgecombe","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=10","/betting/nba/player/vj-edgecombe-odds-6550","30000","0.0",300,"0.3","6,000.00",NA,NA,NA,"25000","0.0",250,"0.4","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"7500","0.0",75,"1.2","1,500.00",NA,NA,NA,"25000","0.0",250,"0.4","5,000.00",NA,NA,NA,"25000","0.0",250,"0.4","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2026-04-03
"Rookie","6617","Yang","Hansen","Yang Hansen","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=10","/betting/nba/player/yang-hansen-odds-6617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8000","0.0",80,"0.0","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-03
"Rookie","6592","Cedric","Coward","Cedric Coward","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=10","/betting/nba/player/cedric-coward-odds-6592",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","50000","0.0",500,NA,"10,000.00",2026-04-03
"Rookie","6541","Derik","Queen","Derik Queen","NOP","https://content.rotowire.com/images/teamlogo/basketball/100NOP.png?v=10","/betting/nba/player/derik-queen-odds-6541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","50000","0.0",500,NA,"10,000.00",2026-04-03
