"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Rookie","6548","Cooper","Flagg","Cooper Flagg","DAL","https://content.rotowire.com/images/teamlogo/basketball/100DAL.png?v=7","/betting/nba/player/cooper-flagg-odds-6548","-115","0.0",0.869565217391304,"44.6","17.39",NA,NA,NA,"-115","0.0",0.869565217391304,"45.0","17.39",NA,NA,NA,"-120","0.0",0.833333333333333,"45.8","16.67",NA,NA,NA,"-120","0.0",0.833333333333333,"46.3","16.67",NA,NA,NA,"-115","0.0",0.869565217391304,"43.1","17.39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","-115","0.0",0.869565217391304,NA,"17.39",2025-11-16
"Rookie","6540","Kon","Knueppel","Kon Knueppel","CHA","https://content.rotowire.com/images/teamlogo/basketball/100CHA.png?v=7","/betting/nba/player/kon-knueppel-odds-6540","240","0.0",2.4,"24.5","48.00",NA,NA,NA,"250","0.0",2.5,"24.0","50.00",NA,NA,NA,"240","0.0",2.4,"24.7","48.00",NA,NA,NA,"260","0.0",2.6,"23.6","52.00",NA,NA,NA,"200","0.0",2,"26.9","40.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","260","0.0",2.6,NA,"52.00",2025-11-16
"Rookie","6550","VJ","Edgecombe","VJ Edgecombe","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=7","/betting/nba/player/vj-edgecombe-odds-6550","370","0.0",3.7,"17.7","74.00",NA,NA,NA,"400","0.0",4,"16.8","80.00",NA,NA,NA,"380","0.0",3.8,"17.5","76.00",NA,NA,NA,"375","0.0",3.75,"17.9","75.00",NA,NA,NA,"400","0.0",4,"16.1","80.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","400","0.0",4,NA,"80.00",2025-11-16
"Rookie","6592","Cedric","Coward","Cedric Coward","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=7","/betting/nba/player/cedric-coward-odds-6592","1800","0.0",18,"4.4","360.00",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,"1700","0.0",17,"4.7","340.00",NA,NA,NA,"1750","0.0",17.5,"4.6","350.00",NA,NA,NA,"1700","0.0",17,"4.5","340.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","2000","0.0",20,NA,"400.00",2025-11-16
"Rookie","6541","Derik","Queen","Derik Queen","NOP","https://content.rotowire.com/images/teamlogo/basketball/100NOP.png?v=7","/betting/nba/player/derik-queen-odds-6541","4000","0.0",40,"2.0","800.00",NA,NA,NA,"3500","0.0",35,"2.3","700.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"4000","0.0",40,"2.1","800.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","4000","0.0",40,NA,"800.00",2025-11-16
"Rookie","6551","Ace","Bailey","Ace Bailey","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=7","/betting/nba/player/ace-bailey-odds-6551","4000","0.0",40,"2.0","800.00",NA,NA,NA,"4000","0.0",40,"2.1","800.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"5000","0.0",50,"1.7","1,000.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","5000","0.0",50,NA,"1,000.00",2025-11-16
"Rookie","6546","Jeremiah","Fears","Jeremiah Fears","NOP","https://content.rotowire.com/images/teamlogo/basketball/100NOP.png?v=7","/betting/nba/player/jeremiah-fears-odds-6546","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2025-11-16
"Rookie","6549","Dylan","Harper","Dylan Harper","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=7","/betting/nba/player/dylan-harper-odds-6549","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"5000","0.0",50,"1.7","1,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2025-11-16
"Rookie","6543","Tre","Johnson","Tre Johnson","WAS","https://content.rotowire.com/images/teamlogo/basketball/100WAS.png?v=7","/betting/nba/player/tre-johnson-odds-6543","12500","0.0",125,"0.7","2,500.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","15000","0.0",150,NA,"3,000.00",2025-11-16
"Rookie","6553","Hugo","Gonzalez","Hugo Gonzalez","BOS","https://content.rotowire.com/images/teamlogo/basketball/100BOS.png?v=7","/betting/nba/player/hugo-gonzalez-odds-6553",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","25000","0.0",250,NA,"5,000.00",2025-11-16
"Rookie","6567","Ryan","Kalkbrenner","Ryan Kalkbrenner","CHA","https://content.rotowire.com/images/teamlogo/basketball/100CHA.png?v=7","/betting/nba/player/ryan-kalkbrenner-odds-6567","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","25000","0.0",250,NA,"5,000.00",2025-11-16
"Rookie","6563","Ben","Saraf","Ben Saraf","BKN","https://content.rotowire.com/images/teamlogo/basketball/100BKN.png?v=7","/betting/nba/player/ben-saraf-odds-6563",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","25000","0.0",250,NA,"5,000.00",2025-11-16
"Rookie","6587","Nolan","Traore","Nolan Traore","BKN","https://content.rotowire.com/images/teamlogo/basketball/100BKN.png?v=7","/betting/nba/player/nolan-traore-odds-6587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","25000","0.0",250,NA,"5,000.00",2025-11-16
"Rookie","6575","Walter","Clayton","Walter Clayton","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=7","/betting/nba/player/walter-clayton-odds-6575","50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2025-11-16
"Rookie","6547","Nique","Clifford","Nique Clifford","SAC","https://content.rotowire.com/images/teamlogo/basketball/100SAC.png?v=7","/betting/nba/player/nique-clifford-odds-6547","30000","0.0",300,"0.3","6,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2025-11-16
"Rookie","6559","Egor","Demin","Egor Demin","BKN","https://content.rotowire.com/images/teamlogo/basketball/100BKN.png?v=7","/betting/nba/player/egor-demin-odds-6559","45000","0.0",450,"0.2","9,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2025-11-16
"Rookie","6617","Yang","Hansen","Yang Hansen","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=7","/betting/nba/player/yang-hansen-odds-6617","50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","50000","0.0",500,NA,"10,000.00",2025-11-16
"Rookie","6557","Kasparas","Jakucionis","Kasparas Jakucionis","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=7","/betting/nba/player/kasparas-jakucionis-odds-6557","50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","50000","0.0",500,NA,"10,000.00",2025-11-16
