"future","playerID","firstName","lastName","name","team","logo","playerURL","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","fanatics_odds","fanatics_line","fanatics_mult","fanatics_winPct","fanatics_win","fanatics_odds_under","fanatics_mult_under","fanatics_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","thescore_odds","thescore_line","thescore_mult","thescore_winPct","thescore_win","thescore_odds_under","thescore_mult_under","thescore_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Rookie","6548","Cooper","Flagg","Cooper Flagg","DAL","https://content.rotowire.com/images/teamlogo/basketball/100DAL.png?v=10","/betting/nba/player/cooper-flagg-odds-6548","-106","0.0",0.943396226415094,"46.3","18.87",NA,NA,NA,"115","0.0",1.15,"43.6","23.00",NA,NA,NA,"-105","0.0",0.952380952380952,"0.0","19.05",NA,NA,NA,"110","0.0",1.1,"44.5","22.00",NA,NA,NA,"-700","0.0",0.142857142857143,"78.5","2.86",NA,NA,NA,"105","0.0",1.05,"46.3","21.00",NA,NA,NA,"140","0.0",1.4,"38.4","28.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","140","0.0",1.4,NA,"28.00",2026-02-28
"Rookie","6540","Kon","Knueppel","Kon Knueppel","CHA","https://content.rotowire.com/images/teamlogo/basketball/100CHA.png?v=10","/betting/nba/player/kon-knueppel-odds-6540","-139","0.0",0.719424460431655,"52.3","14.39",NA,NA,NA,"-145","0.0",0.689655172413793,"55.5","13.79",NA,NA,NA,"-140","0.0",0.714285714285714,"0.0","14.29",NA,NA,NA,"-140","0.0",0.714285714285714,"54.5","14.29",NA,NA,NA,"350","0.0",3.5,"19.9","70.00",NA,NA,NA,"-125","0.0",0.8,"52.7","16.00",NA,NA,NA,"-190","0.0",0.526315789473684,"60.5","10.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","350","0.0",3.5,NA,"70.00",2026-02-28
"Rookie","6550","VJ","Edgecombe","VJ Edgecombe","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=10","/betting/nba/player/vj-edgecombe-odds-6550","10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"10000","0.0",100,"0.0","2,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"7500","0.0",75,"1.2","1,500.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2026-02-28
"Rookie","6551","Ace","Bailey","Ace Bailey","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=10","/betting/nba/player/ace-bailey-odds-6551","50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","50000","0.0",500,NA,"10,000.00",2026-02-28
"Rookie","6592","Cedric","Coward","Cedric Coward","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=10","/betting/nba/player/cedric-coward-odds-6592","50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","50000","0.0",500,NA,"10,000.00",2026-02-28
"Rookie","6541","Derik","Queen","Derik Queen","NOP","https://content.rotowire.com/images/teamlogo/basketball/100NOP.png?v=10","/betting/nba/player/derik-queen-odds-6541","50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","50000","0.0",500,NA,"10,000.00",2026-02-28
"Rookie","6617","Yang","Hansen","Yang Hansen","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=10","/betting/nba/player/yang-hansen-odds-6617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8000","0.0",80,"0.0","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026-02-28
