"future","playerID","firstName","lastName","name","team","logo","playerURL","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Rookie","6548","Cooper","Flagg","Cooper Flagg","DAL","https://content.rotowire.com/images/teamlogo/basketball/100DAL.png?v=9","/betting/nba/player/cooper-flagg-odds-6548","-250","0.0",0.4,"60.3","8.00",NA,NA,NA,"-250","0.0",0.4,"61.0","8.00",NA,NA,NA,"-260","0.0",0.384615384615385,"63.5","7.69",NA,NA,NA,"-280","0.0",0.357142857142857,"64.9","7.14",NA,NA,NA,"-275","0.0",0.363636363636364,"62.5","7.27",NA,NA,NA,"-300","0.0",0.333333333333333,"65.1","6.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","-250","0.0",0.4,NA,"8.00",2025-12-25
"Rookie","6540","Kon","Knueppel","Kon Knueppel","CHA","https://content.rotowire.com/images/teamlogo/basketball/100CHA.png?v=9","/betting/nba/player/kon-knueppel-odds-6540","225","0.0",2.25,"26.0","45.00",NA,NA,NA,"220","0.0",2.2,"26.7","44.00",NA,NA,NA,"250","0.0",2.5,"25.1","50.00",NA,NA,NA,"250","0.0",2.5,"25.2","50.00",NA,NA,NA,"240","0.0",2.4,"25.0","48.00",NA,NA,NA,"250","0.0",2.5,"24.8","50.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","250","0.0",2.5,NA,"50.00",2025-12-25
"Rookie","6541","Derik","Queen","Derik Queen","NOP","https://content.rotowire.com/images/teamlogo/basketball/100NOP.png?v=9","/betting/nba/player/derik-queen-odds-6541","1600","0.0",16,"5.0","320.00",NA,NA,NA,"1400","0.0",14,"5.7","280.00",NA,NA,NA,"1800","0.0",18,"4.6","360.00",NA,NA,NA,"2200","0.0",22,"3.8","440.00",NA,NA,NA,"1300","0.0",13,"6.1","260.00",NA,NA,NA,"2000","0.0",20,"4.1","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","2200","0.0",22,NA,"440.00",2025-12-25
"Rookie","6550","VJ","Edgecombe","VJ Edgecombe","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=9","/betting/nba/player/vj-edgecombe-odds-6550","3000","0.0",30,"2.7","600.00",NA,NA,NA,"3500","0.0",35,"2.4","700.00",NA,NA,NA,"3000","0.0",30,"2.8","600.00",NA,NA,NA,"4500","0.0",45,"1.9","900.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,"5000","0.0",50,"1.7","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","5000","0.0",50,NA,"1,000.00",2025-12-25
"Rookie","6592","Cedric","Coward","Cedric Coward","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=9","/betting/nba/player/cedric-coward-odds-6592","8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"5000","0.0",50,"1.7","1,000.00",NA,NA,NA,"7500","0.0",75,"1.2","1,500.00",NA,NA,NA,"8000","0.0",80,"1.1","1,600.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"8000","0.0",80,"1.1","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","8000","0.0",80,NA,"1,600.00",2025-12-25
"Rookie","6546","Jeremiah","Fears","Jeremiah Fears","NOP","https://content.rotowire.com/images/teamlogo/basketball/100NOP.png?v=9","/betting/nba/player/jeremiah-fears-odds-6546","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2025-12-25
"Rookie","6549","Dylan","Harper","Dylan Harper","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=9","/betting/nba/player/dylan-harper-odds-6549","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","20000","0.0",200,NA,"4,000.00",2025-12-25
"Rookie","6551","Ace","Bailey","Ace Bailey","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=9","/betting/nba/player/ace-bailey-odds-6551","15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"25000","0.0",250,"0.4","5,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","25000","0.0",250,NA,"5,000.00",2025-12-25
"Rookie","6575","Walter","Clayton","Walter Clayton","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=9","/betting/nba/player/walter-clayton-odds-6575","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2025-12-25
"Rookie","6585","Collin","Murray-Boyles","Collin Murray-Boyles","TOR","https://content.rotowire.com/images/teamlogo/basketball/100TOR.png?v=9","/betting/nba/player/collin-murray-boyles-odds-6585","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2025-12-25
