"future","playerID","firstName","lastName","name","team","logo","playerURL","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Rookie","6548","Cooper","Flagg","Cooper Flagg","DAL","https://content.rotowire.com/images/teamlogo/basketball/100DAL.png?v=7","/betting/nba/player/cooper-flagg-odds-6548","-139","0.0",0.719424460431655,"44.3","14.39",NA,NA,NA,"-120","0.0",0.833333333333333,"45.0","16.67",NA,NA,NA,"-110","0.0",0.909090909090909,"44.1","18.18",NA,NA,NA,"-120","0.0",0.833333333333333,"46.2","16.67",NA,NA,NA,"-120","0.0",0.833333333333333,"46.3","16.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","-110","0.0",0.909090909090909,NA,"18.18",2025-11-15
"Rookie","6540","Kon","Knueppel","Kon Knueppel","CHA","https://content.rotowire.com/images/teamlogo/basketball/100CHA.png?v=7","/betting/nba/player/kon-knueppel-odds-6540","250","0.0",2.5,"21.8","50.00",NA,NA,NA,"240","0.0",2.4,"24.3","48.00",NA,NA,NA,"250","0.0",2.5,"24.0","50.00",NA,NA,NA,"260","0.0",2.6,"23.6","52.00",NA,NA,NA,"260","0.0",2.6,"23.6","52.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","260","0.0",2.6,NA,"52.00",2025-11-15
"Rookie","6550","VJ","Edgecombe","VJ Edgecombe","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=7","/betting/nba/player/vj-edgecombe-odds-6550","325","0.0",3.25,"17.9","65.00",NA,NA,NA,"375","0.0",3.75,"17.4","75.00",NA,NA,NA,"360","0.0",3.6,"18.3","72.00",NA,NA,NA,"380","0.0",3.8,"17.7","76.00",NA,NA,NA,"375","0.0",3.75,"17.9","75.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","380","0.0",3.8,NA,"76.00",2025-11-15
"Rookie","6592","Cedric","Coward","Cedric Coward","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=7","/betting/nba/player/cedric-coward-odds-6592","1600","0.0",16,"4.5","320.00",NA,NA,NA,"1600","0.0",16,"4.9","320.00",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,"1700","0.0",17,"4.7","340.00",NA,NA,NA,"1750","0.0",17.5,"4.6","350.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","2000","0.0",20,NA,"400.00",2025-11-15
"Rookie","6541","Derik","Queen","Derik Queen","NOP","https://content.rotowire.com/images/teamlogo/basketball/100NOP.png?v=7","/betting/nba/player/derik-queen-odds-6541","4000","0.0",40,"1.9","800.00",NA,NA,NA,"3500","0.0",35,"2.3","700.00",NA,NA,NA,"3500","0.0",35,"2.3","700.00",NA,NA,NA,"4000","0.0",40,"2.1","800.00",NA,NA,NA,"4000","0.0",40,"2.1","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","4000","0.0",40,NA,"800.00",2025-11-15
"Rookie","6551","Ace","Bailey","Ace Bailey","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=7","/betting/nba/player/ace-bailey-odds-6551","4000","0.0",40,"1.9","800.00",NA,NA,NA,"4500","0.0",45,"1.8","900.00",NA,NA,NA,"4000","0.0",40,"2.1","800.00",NA,NA,NA,"5000","0.0",50,"1.7","1,000.00",NA,NA,NA,"5000","0.0",50,"1.7","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","5000","0.0",50,NA,"1,000.00",2025-11-15
"Rookie","6546","Jeremiah","Fears","Jeremiah Fears","NOP","https://content.rotowire.com/images/teamlogo/basketball/100NOP.png?v=7","/betting/nba/player/jeremiah-fears-odds-6546","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2025-11-15
"Rookie","6549","Dylan","Harper","Dylan Harper","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=7","/betting/nba/player/dylan-harper-odds-6549","8000","0.0",80,"0.9","1,600.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2025-11-15
"Rookie","6543","Tre","Johnson","Tre Johnson","WAS","https://content.rotowire.com/images/teamlogo/basketball/100WAS.png?v=7","/betting/nba/player/tre-johnson-odds-6543","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"12500","0.0",125,"0.7","2,500.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","15000","0.0",150,NA,"3,000.00",2025-11-15
"Rookie","6556","Carter","Bryant","Carter Bryant","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=7","/betting/nba/player/carter-bryant-odds-6556","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2025-11-15
