"future","playerID","firstName","lastName","name","team","logo","playerURL","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Rookie","6548","Cooper","Flagg","Cooper Flagg","DAL","https://content.rotowire.com/images/teamlogo/basketball/100DAL.png?v=7","/betting/nba/player/cooper-flagg-odds-6548","-115","0.0",0.869565217391304,"41.0","17.39",NA,NA,NA,"-105","0.0",0.952380952380952,"38.1","19.05",NA,NA,NA,"115","0.0",1.15,"37.5","23.00",NA,NA,NA,"-115","0.0",0.869565217391304,"43.6","17.39",NA,NA,NA,"100","0.0",1,"39.0","20.00",NA,NA,NA,"100","0.0",1,"38.5","20.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","115","0.0",1.15,NA,"23.00",2025-10-31
"Rookie","6550","VJ","Edgecombe","VJ Edgecombe","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=7","/betting/nba/player/vj-edgecombe-odds-6550","130","0.0",1.3,"33.4","26.00",NA,NA,NA,"120","0.0",1.2,"33.8","24.00",NA,NA,NA,"110","0.0",1.1,"38.4","22.00",NA,NA,NA,"140","0.0",1.4,"34.0","28.00",NA,NA,NA,"130","0.0",1.3,"33.9","26.00",NA,NA,NA,"125","0.0",1.25,"34.2","25.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","140","0.0",1.4,NA,"28.00",2025-10-31
"Rookie","6549","Dylan","Harper","Dylan Harper","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=7","/betting/nba/player/dylan-harper-odds-6549","1600","0.0",16,"4.5","320.00",NA,NA,NA,"1400","0.0",14,"5.0","280.00",NA,NA,NA,"1600","0.0",16,"4.7","320.00",NA,NA,NA,"1900","0.0",19,"4.1","380.00",NA,NA,NA,"1500","0.0",15,"4.9","300.00",NA,NA,NA,"1800","0.0",18,"4.1","360.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1900","0.0",19,NA,"380.00",2025-10-31
"Rookie","6543","Tre","Johnson","Tre Johnson","WAS","https://content.rotowire.com/images/teamlogo/basketball/100WAS.png?v=7","/betting/nba/player/tre-johnson-odds-6543","2000","0.0",20,"3.7","400.00",NA,NA,NA,"2000","0.0",20,"3.5","400.00",NA,NA,NA,"2500","0.0",25,"3.1","500.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"2500","0.0",25,"3.0","500.00",NA,NA,NA,"2500","0.0",25,"3.0","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","3000","0.0",30,NA,"600.00",2025-10-31
"Rookie","6540","Kon","Knueppel","Kon Knueppel","CHA","https://content.rotowire.com/images/teamlogo/basketball/100CHA.png?v=7","/betting/nba/player/kon-knueppel-odds-6540","2000","0.0",20,"3.7","400.00",NA,NA,NA,"1800","0.0",18,"3.9","360.00",NA,NA,NA,"3300","0.0",33,"2.4","660.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"1500","0.0",15,"4.9","300.00",NA,NA,NA,"2500","0.0",25,"3.0","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","3300","0.0",33,NA,"660.00",2025-10-31
"Rookie","6592","Cedric","Coward","Cedric Coward","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=7","/betting/nba/player/cedric-coward-odds-6592","4000","0.0",40,"1.9","800.00",NA,NA,NA,"3000","0.0",30,"2.4","600.00",NA,NA,NA,"3500","0.0",35,"2.2","700.00",NA,NA,NA,"4500","0.0",45,"1.8","900.00",NA,NA,NA,"3000","0.0",30,"2.5","600.00",NA,NA,NA,"4000","0.0",40,"1.9","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","4500","0.0",45,NA,"900.00",2025-10-31
"Rookie","6551","Ace","Bailey","Ace Bailey","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=7","/betting/nba/player/ace-bailey-odds-6551","8000","0.0",80,"0.9","1,600.00",NA,NA,NA,"5000","0.0",50,"1.5","1,000.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"4000","0.0",40,"1.9","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","8000","0.0",80,NA,"1,600.00",2025-10-31
"Rookie","6546","Jeremiah","Fears","Jeremiah Fears","NOP","https://content.rotowire.com/images/teamlogo/basketball/100NOP.png?v=7","/betting/nba/player/jeremiah-fears-odds-6546","8000","0.0",80,"0.9","1,600.00",NA,NA,NA,"5000","0.0",50,"1.5","1,000.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"5000","0.0",50,"1.5","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","8000","0.0",80,NA,"1,600.00",2025-10-31
"Rookie","6575","Walter","Clayton","Walter Clayton","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=7","/betting/nba/player/walter-clayton-odds-6575","8000","0.0",80,"0.9","1,600.00",NA,NA,NA,"7000","0.0",70,"1.0","1,400.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"7500","0.0",75,"1.0","1,500.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"7000","0.0",70,"40.9","1,400.00",NA,NA,NA,"espnbet","10000","0.0",100,NA,"2,000.00",2025-10-31
"Rookie","6567","Ryan","Kalkbrenner","Ryan Kalkbrenner","CHA","https://content.rotowire.com/images/teamlogo/basketball/100CHA.png?v=7","/betting/nba/player/ryan-kalkbrenner-odds-6567","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.7","2,000.00",NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"7500","0.0",75,"1.0","1,500.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,"8000","0.0",80,"35.9","1,600.00",NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2025-10-31
"Rookie","6559","Egor","Demin","Egor Demin","BKN","https://content.rotowire.com/images/teamlogo/basketball/100BKN.png?v=7","/betting/nba/player/egor-demin-odds-6559","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.7","2,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","15000","0.0",150,NA,"3,000.00",2025-10-31
"Rookie","6585","Collin","Murray-Boyles","Collin Murray-Boyles","TOR","https://content.rotowire.com/images/teamlogo/basketball/100TOR.png?v=7","/betting/nba/player/collin-murray-boyles-odds-6585","8000","0.0",80,"0.9","1,600.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","15000","0.0",150,NA,"3,000.00",2025-10-31
"Rookie","6541","Derik","Queen","Derik Queen","NOP","https://content.rotowire.com/images/teamlogo/basketball/100NOP.png?v=7","/betting/nba/player/derik-queen-odds-6541","15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","15000","0.0",150,NA,"3,000.00",2025-10-31
"Rookie","6547","Nique","Clifford","Nique Clifford","SAC","https://content.rotowire.com/images/teamlogo/basketball/100SAC.png?v=7","/betting/nba/player/nique-clifford-odds-6547","15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"10000","0.0",100,"0.7","2,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"17500","0.0",175,"0.4","3,500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","17500","0.0",175,NA,"3,500.00",2025-10-31
"Rookie","6557","Kasparas","Jakucionis","Kasparas Jakucionis","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=7","/betting/nba/player/kasparas-jakucionis-odds-6557","15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"17500","0.0",175,"0.4","3,500.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"15000","0.0",150,"0.5","3,000.00",NA,NA,NA,"8000","0.0",80,"1.0","1,600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","17500","0.0",175,NA,"3,500.00",2025-10-31
"Rookie","6576","Joan","Beringer","Joan Beringer","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=7","/betting/nba/player/joan-beringer-odds-6576","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","25000","0.0",250,NA,"5,000.00",2025-10-31
"Rookie","6566","Johni","Broome","Johni Broome","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=7","/betting/nba/player/johni-broome-odds-6566",NA,NA,NA,NA,NA,NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","25000","0.0",250,NA,"5,000.00",2025-10-31
"Rookie","6556","Carter","Bryant","Carter Bryant","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=7","/betting/nba/player/carter-bryant-odds-6556","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","25000","0.0",250,NA,"5,000.00",2025-10-31
