"future","playerID","firstName","lastName","name","team","logo","playerURL","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Rookie","6548","Cooper","Flagg","Cooper Flagg","DAL","https://content.rotowire.com/images/teamlogo/basketball/100DAL.png?v=7","/betting/nba/player/cooper-flagg-odds-6548","-121","0.0",0.826446280991736,"42.5","16.53",NA,NA,NA,"-110","0.0",0.909090909090909,"40.1","18.18",NA,NA,NA,"105","0.0",1.05,"38.5","21.00",NA,NA,NA,"-125","0.0",0.8,"46.6","16.00",NA,NA,NA,"-105","0.0",0.952380952380952,"42.0","19.05",NA,NA,NA,"-110","0.0",0.909090909090909,"39.7","18.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","105","0.0",1.05,NA,"21.00",2025-11-07
"Rookie","6550","VJ","Edgecombe","VJ Edgecombe","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=7","/betting/nba/player/vj-edgecombe-odds-6550","125","0.0",1.25,"34.5","25.00",NA,NA,NA,"120","0.0",1.2,"34.8","24.00",NA,NA,NA,"115","0.0",1.15,"36.7","23.00",NA,NA,NA,"150","0.0",1.5,"33.6","30.00",NA,NA,NA,"130","0.0",1.3,"35.7","26.00",NA,NA,NA,"115","0.0",1.15,"35.3","23.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","150","0.0",1.5,NA,"30.00",2025-11-07
"Rookie","6540","Kon","Knueppel","Kon Knueppel","CHA","https://content.rotowire.com/images/teamlogo/basketball/100CHA.png?v=7","/betting/nba/player/kon-knueppel-odds-6540","1600","0.0",16,"4.6","320.00",NA,NA,NA,"1200","0.0",12,"5.9","240.00",NA,NA,NA,"1500","0.0",15,"4.9","300.00",NA,NA,NA,"1800","0.0",18,"4.4","360.00",NA,NA,NA,"1400","0.0",14,"5.5","280.00",NA,NA,NA,"1600","0.0",16,"4.5","320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1800","0.0",18,NA,"360.00",2025-11-07
"Rookie","6592","Cedric","Coward","Cedric Coward","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=7","/betting/nba/player/cedric-coward-odds-6592","2500","0.0",25,"3.0","500.00",NA,NA,NA,"2500","0.0",25,"2.9","500.00",NA,NA,NA,"2000","0.0",20,"3.8","400.00",NA,NA,NA,"2500","0.0",25,"3.2","500.00",NA,NA,NA,"2500","0.0",25,"3.2","500.00",NA,NA,NA,"2500","0.0",25,"2.9","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","2500","0.0",25,NA,"500.00",2025-11-07
"Rookie","6549","Dylan","Harper","Dylan Harper","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=7","/betting/nba/player/dylan-harper-odds-6549","4000","0.0",40,"1.9","800.00",NA,NA,NA,"4000","0.0",40,"1.9","800.00",NA,NA,NA,"4000","0.0",40,"1.9","800.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"4000","0.0",40,"1.8","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","4000","0.0",40,NA,"800.00",2025-11-07
"Rookie","6543","Tre","Johnson","Tre Johnson","WAS","https://content.rotowire.com/images/teamlogo/basketball/100WAS.png?v=7","/betting/nba/player/tre-johnson-odds-6543","3000","0.0",30,"2.5","600.00",NA,NA,NA,"3500","0.0",35,"2.1","700.00",NA,NA,NA,"4000","0.0",40,"1.9","800.00",NA,NA,NA,"3500","0.0",35,"2.3","700.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"3500","0.0",35,"2.1","700.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","4000","0.0",40,NA,"800.00",2025-11-07
"Rookie","6546","Jeremiah","Fears","Jeremiah Fears","NOP","https://content.rotowire.com/images/teamlogo/basketball/100NOP.png?v=7","/betting/nba/player/jeremiah-fears-odds-6546","6000","0.0",60,"1.3","1,200.00",NA,NA,NA,"5500","0.0",55,"1.4","1,100.00",NA,NA,NA,"4000","0.0",40,"1.9","800.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"5000","0.0",50,"1.5","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","6000","0.0",60,NA,"1,200.00",2025-11-07
"Rookie","6582","Sion","James","Sion James","CHA","https://content.rotowire.com/images/teamlogo/basketball/100CHA.png?v=7","/betting/nba/player/sion-james-odds-6582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","10000","0.0",100,NA,"2,000.00",2025-11-07
"Rookie","6567","Ryan","Kalkbrenner","Ryan Kalkbrenner","CHA","https://content.rotowire.com/images/teamlogo/basketball/100CHA.png?v=7","/betting/nba/player/ryan-kalkbrenner-odds-6567","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"7500","0.0",75,"1.0","1,500.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"5000","0.0",50,"1.5","1,000.00",NA,NA,NA,"7500","0.0",75,"44.3","1,500.00",NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2025-11-07
"Rookie","6585","Collin","Murray-Boyles","Collin Murray-Boyles","TOR","https://content.rotowire.com/images/teamlogo/basketball/100TOR.png?v=7","/betting/nba/player/collin-murray-boyles-odds-6585","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"7500","0.0",75,"1.0","1,500.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"6600","0.0",66,"1.1","1,320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2025-11-07
